hour,member_casual,count_of_users
23,casual,8986
4,casual,1308
17,casual,37385
20,casual,16837
12,casual,23128
16,casual,34083
1,casual,4620
10,casual,14904
13,casual,25363
15,casual,30014
14,casual,26985
19,casual,23497
9,casual,12506
7,casual,10061
21,casual,14215
0,casual,6958
11,casual,19172
18,casual,32047
5,casual,2199
8,casual,13337
22,casual,12093
6,casual,5950
3,casual,1697
2,casual,3002
3,member,1757
11,member,38034
17,member,84275
18,member,65602
16,member,71258
14,member,44052
6,member,22342
9,member,35702
15,member,54086
20,member,30820
13,member,43608
19,member,45846
10,member,32107
0,member,7534
12,member,43081
22,member,17673
21,member,23960
1,member,4594
7,member,41263
23,member,11755
8,member,52528
5,member,7222
2,member,2745
4,member,1937